,country,world_bank_totals,chinese_aid_totals,usaid_aid,hdi_14,pr_score14,cl_score14,fh_status14,cpi_2014,gdp_per_cap14,resource_rents,debt_to_gdp,fh_change,pc_gdp_change,hdi_change,world_bank_pc,chinese_aid_pc,usaid_pc,chinese_aid_total_max,clusters_all,cluster_all_aid,cluster_pc_aid,clusters_selected_features,clusters_selected_features_9
10,Comoros,73683155.09387,280361331.3833333,11242948.0,0.534,3.0,4.0,PF,26.0,1369.176631,1.90318903,22.596999999999998,-3.0,723.3579402,0.07700000000000001,97.02939871985407,369.19281447389784,14.80523578135082,1,0,0,0,0,0
11,Congo,482041302.0334801,9013684144.826662,243388741.0,0.595,6.0,5.0,NF,23.0,3005.736912000001,40.06206864,47.605,1.0,1976.1598750000005,0.09999999999999998,101.76144138293353,1902.8358916106909,51.38063687915534,1,4,0,0,0,6
12,Cote D'Ivoire,1815459604.4887702,2865090399.086667,1851870076.0,0.478,5.0,4.0,PF,32.0,1377.796563,6.17522542,44.79,-2.0,726.4906562000001,0.07099999999999995,80.16094204818967,126.50699849016199,81.76863284425166,1,0,0,0,0,0
13,Democratic Republic of Congo,5359333225.962869,1356688496.2066665,6982450241.0,0.441,6.0,6.0,NF,22.0,397.3416705,35.37516398,17.51,-1.0,-7.874582499999974,0.10800000000000004,72.65173791310505,18.391425369603294,94.65489894207673,0,0,0,0,0,6
14,Djibouti,189723479.64425,77881100.28666668,474107681.0,0.475,6.0,5.0,NF,34.0,1595.15,1.167580675,38.811,2.0,826.9739232999998,0.114,211.10974082921254,86.66011675434927,527.5506745328787,0,0,0,2,0,6
15,Egypt,8205843619.546041,615146355.4933332,61292723074.0,0.6829999999999999,6.0,5.0,NF,37.0,2648.2941690000002,8.664097598,85.12700000000002,0.0,1197.8179269999996,0.07199999999999995,90.74785754276749,6.802861037138536,677.8319889838892,0,0,0,0,0,6
16,Eritrea,486042892.15805995,485394836.44,1028386667.0,0.436,7.0,7.0,NF,18.0,467.0,19.1,128.674,2.0,158.86621639999996,-0.0714305555555555,108.6129367950972,108.46811987486035,229.807076424581,0,4,0,0,0,1
17,Ethiopia,11450836747.395342,83308642960.50003,19011912049.0,0.446,6.0,6.0,NF,33.0,449.42037710000005,13.11050205,46.802,2.0,324.9595768000001,0.16299999999999998,116.73300318006744,849.2713937125351,193.81270020986855,1,3,1,0,0,8
18,Gabon,62456373.7006,2036790559.7933333,100394128.0,0.688,6.0,5.0,NF,37.0,9467.363786,27.12381411,34.063,2.0,5341.6471219999985,0.060999999999999936,33.15446103652192,1081.21380178009,53.29341119014757,1,6,0,0,1,4
19,Gambia,159889109.65100998,0.0,139231178.0,0.449,6.0,6.0,NF,29.0,747.7087319,5.77778113,104.889,0.0,153.55708890000014,0.067,78.9949564539718,0.0,68.78868027442118,0,4,0,0,0,6
