Country,0,0,1
Cameroon,6,2009,PR
Cameroon,6,2009,CL
Cameroon,NF,2009,Status
Cameroon,6,2010,PR
Cameroon,6,2010,CL
Cameroon,NF,2010,Status
Cameroon,6,2011,PR
Cameroon,6,2011,CL
Cameroon,NF,2011,Status
Cameroon,6,2012,PR
Cameroon,6,2012,CL
Cameroon,NF,2012,Status
Cameroon,6,2013,PR
Cameroon,6,2013,CL
Cameroon,NF,2013,Status
Cameroon,6,2014,PR
Cameroon,6,2014,CL
Cameroon,NF,2014,Status
Cape Verde,1,2000,PR
Cape Verde,2,2000,CL
Cape Verde,F,2000,Status
Cape Verde,1,2001,PR
Cape Verde,2,2001,CL
Cape Verde,F,2001,Status
Cape Verde,1,2002,PR
Cape Verde,2,2002,CL
Cape Verde,F,2002,Status
Cape Verde,1,2003,PR
Cape Verde,1,2003,CL
Cape Verde,F,2003,Status
Cape Verde,1,2004,PR
Cape Verde,1,2004,CL
Cape Verde,F,2004,Status
Cape Verde,1,2005,PR
Cape Verde,1,2005,CL
Cape Verde,F,2005,Status
Cape Verde,1,2006,PR
Cape Verde,1,2006,CL
Cape Verde,F,2006,Status
Cape Verde,1,2007,PR
Cape Verde,1,2007,CL
Cape Verde,F,2007,Status
Cape Verde,1,2008,PR
Cape Verde,1,2008,CL
Cape Verde,F,2008,Status
Cape Verde,1,2009,PR
Cape Verde,1,2009,CL
Cape Verde,F,2009,Status
Cape Verde,1,2010,PR
Cape Verde,1,2010,CL
Cape Verde,F,2010,Status
Cape Verde,1,2011,PR
Cape Verde,1,2011,CL
Cape Verde,F,2011,Status
Cape Verde,1,2012,PR
Cape Verde,1,2012,CL
Cape Verde,F,2012,Status
Cape Verde,1,2013,PR
Cape Verde,1,2013,CL
Cape Verde,F,2013,Status
Cape Verde,1,2014,PR
Cape Verde,1,2014,CL
Cape Verde,F,2014,Status
Central African Republic,3,2000,PR
Central African Republic,4,2000,CL
Central African Republic,PF,2000,Status
Central African Republic,5,2001,PR
Central African Republic,5,2001,CL
Central African Republic,PF,2001,Status
Central African Republic,5,2002,PR
Central African Republic,5,2002,CL
Central African Republic,PF,2002,Status
Central African Republic,7,2003,PR
Central African Republic,5,2003,CL
Central African Republic,NF,2003,Status
Central African Republic,6,2004,PR
Central African Republic,5,2004,CL
Central African Republic,NF,2004,Status
Central African Republic,5,2005,PR
Central African Republic,4,2005,CL
Central African Republic,PF,2005,Status
Central African Republic,5,2006,PR
Central African Republic,4,2006,CL
Central African Republic,PF,2006,Status
Central African Republic,5,2007,PR
Central African Republic,5,2007,CL
Central African Republic,PF,2007,Status
