"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"35722","1","Chinese offers $43 million in emergency aid to Ecuador for infrastructure after storms","","start-actual","","end-actual","China","CHN","Ecuador","ECU","210","Transport and Storage","","","Pipeline/identification","2002","2002","90439575.99",""
"35728","1","China donates US$2.5 million in computers and agricultural equipment to Ecuador","","start-actual","","end-actual","China","CHN","Ecuador","ECU","430","Other","","","Completion","2003","2003","5510216.703",""
"35733","1","Ecuador received a loan of US$2.5 million from China","","start-actual","","end-actual","China","CHN","Ecuador","ECU","998","Unallocated / Unspecified","","","Completion","2003","2003","5510216.703",""
"35756","1","China provided Kip302bn in upgrading Vientiane's Wattay International Airport","","start-actual","2012-05-21","end-actual","China","CHN","Laos","LAO","210","Transport and Storage","","","Completion","2011","2012","41760210.88",""
"35757","1","450 million yuan loan for construction of Laos International Conference Center Project","2011-12-31","start-actual","2012-09-30","end-actual","China","CHN","Laos","LAO","160","Other Social Infrastructure and Services","","","Completion","2011","2012","77331430.93",""
"35759","1","Chinese government provides preferential loan of 16.7 million USD for a Lao Airlines hangar and maintenance training center project","","start-actual","","end-actual","China","CHN","Laos","LAO","210","Transport and Storage","","","Completion","2010","2010","20413716.74",""
"35762","1","China hands over aid relief supplies worth 2 million yuan to Laos","","start-actual","","end-actual","China","CHN","Laos","LAO","720","Emergency Response","","","Completion","2012","2012","335665.6201",""
"35764","1","China Development Bank loan for and CWE investment in construction of Nam Ngiep hydropower plant","","start-actual","","end-actual","China","CHN","Laos","LAO","230","Energy Generation and Supply","","","Completion","2011","2011","383083419.2",""
"35767","1","China provides seller's credit for construction of paper mill","2006-04-01","start-actual","2009-05-26","end-actual","China","CHN","Myanmar","MMR","320","Industry, Mining, Construction","","","Completion","2006","2009","149965935.0",""
"35772","1","China Extends $30 Million USD Loan to Bolivia for Infrastructure","","start-actual","","end-actual","China","CHN","Bolivia","BOL","430","Other","","","Implementation","2005","2005","58945021.21",""
"35773","1","Ecuador received a US$1 million from China","","start-actual","","end-actual","China","CHN","Ecuador","ECU","998","Unallocated / Unspecified","","","Completion","2003","2003","2204086.681",""
"35784","1","China donates $1.2 million to finance Peruvian social development and employment program","","start-actual","","end-actual","China","CHN","Peru","PER","160","Other Social Infrastructure and Services","","","Implementation","2002","2002","2713187.28",""
"35802","1","China Signs Agreement to Donate $1.2 Million USD to Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","430","Other","","","Implementation","2006","2006","2208087.387",""
"35805","1","16th medical team to Rwanda ","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Implementation"," "," ","",""
"35807","1","15th medical team to Rwanda ","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Completion"," "," ","",""
"35809","1","14th medical team to Rwanda ","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Completion"," "," ","",""
"35815","1","China loans Ecuador $1.2 million with no interest (Linked to #35814)","","start-actual","","end-actual","China","CHN","Ecuador","ECU","430","Other","","","Implementation","2006","2006","2208087.387",""
"35818","1","China ExIm bank loans Ecuador 621.7 million USD to build Sopladora hydroelectric plant on the Paute River","","start-actual","","end-actual","China","CHN","Ecuador","ECU","230","Energy Generation and Supply","","","Implementation","2010","2010","718404046.9",""
"35820","1","China invests $1.2 billion in Ecuador's Ishpingo-Tambococha-Tiputini (ITT) oil field","","start-actual","","end-actual","China","CHN","Ecuador","ECU","230","Energy Generation and Supply","","","Implementation","2009","2009","1629104601.0",""
"35824","1","China donates 130 passenger trains to Myanmar","","start-actual","","end-actual","China","CHN","Myanmar","MMR","210","Transport and Storage","","","Completion"," "," ","",""
"35826","1","Eximbank provides $31.5 million loan to Myanmar","","start-actual","","end-actual","China","CHN","Myanmar","MMR","220","Communications","","","Implementation","2006","2006","57962293.91",""
"35828","1","Loan for Upper Paunglaung Dam (Punglaung II) Hydroelectric Project ","","start-actual","","end-actual","China","CHN","Myanmar","MMR","230","Energy Generation and Supply","","","Completion"," "," ","",""
"35833","1","China authorizes 20 million USD Credit Line for Venezuela agricultural improvements","","start-actual","","end-actual","China","CHN","Venezuela","VEN","310","Agriculture, Forestry, Fishing","","","Implementation","2001","2001","45486171.41",""
"35836","1","China donates $1.2 million to Peruvian government to develop Peru-Ecuador border region","","start-actual","","end-actual","China","CHN","Peru","PER","430","Other","","","Implementation","2003","2003","2644904.017",""
"35841","1","China donates $100,000 to help fund de-mining efforts in Ecuador-Peru border region","","start-actual","","end-actual","China","CHN","Peru","PER","150","Government and Civil Society","","","Completion","2008","2008","137940.9285",""
"35844","1","China donates $1.4 million to Ecuador","","start-actual","","end-actual","China","CHN","Ecuador","ECU","150","Government and Civil Society","","","Completion","2009","2009","1900622.034",""
"35845","1","China gives Ecuador an interest free credit line worth $3 million","","start-actual","","end-actual","China","CHN","Ecuador","ECU","150","Government and Civil Society","","","Completion","2009","2009","3937002.785",""
"35848","1","Sinohydro building $2 billion Coca-Codo Sinclair HydroDam","","start-actual","","end-actual","China","CHN","Ecuador","ECU","230","Energy Generation and Supply","","","Implementation","2010","2010","2117146791.0",""
"35851","1","China-Ecuador sign loan and credit line agreement worth $30M (Med)","","start-actual","","end-actual","China","CHN","Ecuador","ECU","120","Health","","","Completion","2009","2009","5837624.819",""
"35856","1","China Offers to Lend $405 Million USD to Bolivia for El Mutun Iron Ore Deposit ","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","","","Implementation","2014","2014","344250000.0",""
"35860","1","China donates computer equipment to the Andean Community (CAN)","","start-actual","2003-04-15","end-actual","China","CHN","South America, regional","Unspecified","220","Communications","","","Completion","2003","2003","",""
"35865","1","China Development Bank signs 1 billion USD loan for oil agreement with Petroecuador","","start-actual","","end-actual","China","CHN","Ecuador","ECU","230","Energy Generation and Supply","","","Completion","2010","2010","1258150695.0",""
"35867","1","China-Ecuador sign loan and credit line agreeement worth $30M (Road)","","start-actual","","end-actual","China","CHN","Ecuador","ECU","160","Other Social Infrastructure and Services","","","Completion","2009","2009","24436569.01",""
"35872","1","Chinese Economic Attaché Office donates to Myanmar for cyclone relief, jointly with Chinese firms (linked to #39313)","","start-actual","2008-05-10","end-actual","China","CHN","Myanmar","MMR","720","Emergency Response","","","Completion","2008","2008","342225.4242",""
"35877","1","China provides Venezuela USD605k Grant for Economic Cooperation","2004-04-24","start-actual","","end-actual","China","CHN","Venezuela","VEN","330","Trade and Tourism","","","Completion","2004","2004","1247229.113",""
"35881","1","China-Venezuela Joint Fund Provides 800 million USD for Tinaco-Anaco Railway [Linked to #37950]","","start-actual","","end-actual","China","CHN","Venezuela","VEN","210","Transport and Storage","","","Pipeline/identification"," "," ","",""
"35885","1","China loans 40 million USD for Agricultural Machinery","","start-actual","","end-actual","China","CHN","Venezuela","VEN","310","Agriculture, Forestry, Fishing","","","Implementation","2004","2004","82461428.96",""
"35888","1","China Funds $60 Million USD to Bolivia's National Mine Geology and Technical Service (Sergeotecmin)","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","","","Implementation","2008","2008","82764557.1",""
"35917","1","$600 Million Credit for Oruro-La Paz Bullet Train","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","","","Implementation","2009","2009","814552300.3",""
"35927","1","China loans Bolivia $60 Million USD for Energy Investments","","start-actual","","end-actual","China","CHN","Bolivia","BOL","230","Energy Generation and Supply","","","Completion","2009","2009","81455230.03",""
"35943","1","China Education Grant to Ecuador","","start-actual","","end-actual","China","CHN","Ecuador","ECU","110","Education","","","Completion","2010","2010","3716693.37",""
"35945","1","1.463 Million Colombian Pesos of Equipment as Part of Economic and Technical Cooperation","","start-actual","","end-actual","China","CHN","Colombia","COL","150","Government and Civil Society","","","Implementation","2006","2006","1140.13895",""
"35950","1","Ecuador Signs $2B loan with CDB for renewable energy purposes (linked to #36358)","","start-actual","","end-actual","China","CHN","Ecuador","ECU","430","Other","","","Implementation","2011","2011","2220773445.0",""
"35958","1","China Loans $40 Million USD to Bolivia for Road Construction and Maintenance","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","","","Implementation","2010","2010","50326027.8",""
