all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling,aid_in_millions
Madagascar,Action Relating to Debt,Debt forgiveness,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Madagascar,2001,China exempts $30 million USD of Madagascar's loans,Madagascar,ChinatoAfrica,68204717,FALSE,68.204717
Djibouti,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,11.58901,43.14503,Djibouti,2003,"China donates sanitation trucks and equipment to Djibouti worth 678,000 USD",Djibouti,ChinatoAfrica,1493833,FALSE,1.493833
Djibouti,Water Supply and Sanitation,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Djibouti,2003,"China donates sanitation trucks and equipment to Djibouti worth 678,000 USD",Djibouti,ChinatoAfrica,1493833,FALSE,1.493833
Djibouti,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Djibouti,2004,"China donates education materials worth 120,000 USD to Djibouti",Djibouti,ChinatoAfrica,247295,FALSE,0.247295
Zambia,Developmental Food Aid/Food Security Assistance,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zambia,2006,China grants Zambia $1 million USD for food,Zambia,EcologicallySensitive,1839411,FALSE,1.839411
Zimbabwe,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Grace Mugabe Foundation Primary School, Mazowe, Zimbabwe",-16.7,31.2,Mashonaland Central,2008,China grants 50 million RMB to fund Grace Mugabe Orphanage School,Zimbabwe,ChinatoAfrica,9922158,FALSE,9.922158
Zimbabwe,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Grace Mugabe Foundation Primary School, Mazowe, Zimbabwe",-17.2808,30.93231,Mazowe District,2008,China grants 50 million RMB to fund Grace Mugabe Orphanage School,Zimbabwe,ChinatoAfrica,9922158,FALSE,9.922158
Djibouti,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Arta,11.52222,42.84194,Arta,2009,China grants 8.2 million USD to Djibouti for construction of regional hospital,Djibouti,ChinatoAfrica,11128210,FALSE,11.12821
Mauritius,Government and Civil Society,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Mauritius,2002,China provides 20 million CNY for x-ray scanning equipment to Mauritius' Customs (ID #21906),Mauritius,ChinatoAfrica,5461370,FALSE,5.46137
Mauritius,Communications,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,EbÍÎne,-20.2275,57.4925,Le Réduit,2006,"China loans 70 million to Mauritius for MBC headquarters (linked to ID #20881, ID #20104, ID#1144, and ID#21229) ",Mauritius,ChinatoAfrica,4060757,FALSE,4.060757
