all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling
Angola,Other Multisector,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Mixed,"Huambo, Bie, Huila, Luanda",-12.34989,17.3031,Bíe,2006,"Phase 2: New Generation Network (NGN) and Communications Installations for Bie, Huambo, Huila, Luanda (Linked to ID #42029)",Angola,AdditionalCoded,138462319.0,False
Angola,Other Multisector,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Mixed,"Huambo, Bie, Huila, Luanda",-12.5,15.666670000000002,Huambo,2006,"Phase 2: New Generation Network (NGN) and Communications Installations for Bie, Huambo, Huila, Luanda (Linked to ID #42029)",Angola,AdditionalCoded,138462319.0,False
Angola,Other Multisector,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Mixed,"Huambo, Bie, Huila, Luanda",-8.91667,13.33924,Luanda,2006,"Phase 2: New Generation Network (NGN) and Communications Installations for Bie, Huambo, Huila, Luanda (Linked to ID #42029)",Angola,AdditionalCoded,138462319.0,False
Angola,Other Multisector,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Mixed,"Huambo, Bie, Huila, Luanda",-14.69531,15.00014,Huíla,2006,"Phase 2: New Generation Network (NGN) and Communications Installations for Bie, Huambo, Huila, Luanda (Linked to ID #42029)",Angola,AdditionalCoded,138462319.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,Luanda,-8.83682,13.23432,Luanda,2006,Rehabilitation and Expansion of MT/BT Networks in Luanda (Linked to ID #42029),Angola,AdditionalCoded,52398059.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,Malange,-9.67548,16.82553,Malanje,2007,Rehabilitation and Expansion of MT/BT Networks in Malange (Linked to ID #42029),Angola,AdditionalCoded,48584016.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Luanda-Sul, Luanda-Norte, Dundo, Saurimo",-8.63543,19.64852,Luanda Norte,2006,"Rehabilitation and Expansion of MT/BT Networks in Luanda-Sul, Luanda-Norte, Dundo, Saurimo (Linked to ID #42029)",Angola,AdditionalCoded,93253053.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Luanda-Sul, Luanda-Norte, Dundo, Saurimo",-7.36643,20.81557,Dundo,2006,"Rehabilitation and Expansion of MT/BT Networks in Luanda-Sul, Luanda-Norte, Dundo, Saurimo (Linked to ID #42029)",Angola,AdditionalCoded,93253053.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Luanda-Sul, Luanda-Norte, Dundo, Saurimo",-8.90127,13.180929999999998,Luanda-Sul,2006,"Rehabilitation and Expansion of MT/BT Networks in Luanda-Sul, Luanda-Norte, Dundo, Saurimo (Linked to ID #42029)",Angola,AdditionalCoded,93253053.0,False
Angola,Energy Generation and Supply,Loan (excluding debt rescheduling),OOF-like,"Export-Import Bank of China, Government Agency",Development,"Luanda-Sul, Luanda-Norte, Dundo, Saurimo",-9.66078,20.39155,Saurimo,2006,"Rehabilitation and Expansion of MT/BT Networks in Luanda-Sul, Luanda-Norte, Dundo, Saurimo (Linked to ID #42029)",Angola,AdditionalCoded,93253053.0,False
Botswana,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-24.6569,25.9239,Princess Marina Hospital,2011,China sends 13th medical team to Botswana,Botswana,AdditionalCoded,22725.0,False
Malawi,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-13.97742,33.78575,Kamuzu Central Hospital,2013,3rd Medical Team to Malawi,Malawi,EcologicallySensitive,418523.0,False
Malawi,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-11.428954353499998,33.9959717025,Mzuzu Central Hospital,2013,3rd Medical Team to Malawi,Malawi,EcologicallySensitive,418523.0,False
Cape Verde,Health,Vague TBD,Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Praia,14.920329999999998,-23.50768,Hospital Agostinho Neto,2005,China funds Outpatients Center and Maternity Ward for Agostinho Neto Hospital (Linked to Project ID #35065),Cape Verde,AdditionalCoded,9587753.0,False
Djibouti,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Djibouti,2007,"China donates malaria medicine worth 500,000 RMB to Djibouti",Djibouti,AdditionalCoded,106968.0,False
Guinea,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Conakry,0.0,0.0,Guinea,2011,China Donates Anti-Malaria Medicine worth 3 million RMB,Guinea,AdditionalCoded,515357.0,False
